0.01,0.032845
0.41394,0.038228
0.81788,0.049284
1.2218,0.060609
1.6258,0.070119
2.0297,0.077456
2.4336,0.082865
2.8376,0.086728
3.2415,0.089396
3.6455,0.091151
4.0494,0.092207
4.4533,0.092723
4.8573,0.092817
5.2612,0.092578
5.6652,0.092076
6.0691,0.091362
6.473,0.090479
6.877,0.089461
7.2809,0.088336
7.6848,0.087128
8.0888,0.085855
8.4927,0.084535
8.8967,0.083184
9.3006,0.081813
9.7045,0.080434
10.108,0.079058
10.512,0.077694
10.916,0.076351
11.32,0.075036
11.724,0.073758
12.128,0.072522
12.532,0.071336
12.936,0.070207
13.34,0.069141
13.744,0.068146
14.148,0.06723
14.552,0.0664
14.956,0.065665
15.36,0.065037
15.764,0.064527
16.168,0.064149
16.572,0.063921
16.975,0.063863
17.379,0.064
17.783,0.064364
18.187,0.064994
18.591,0.065938
18.995,0.067256
19.399,0.069024
19.803,0.071328
20.207,0.074264
20.611,0.077907
21.015,0.082237
21.419,0.086962
21.823,0.091161
22.227,0.092904
22.631,0.089709
23.035,0.080736
23.438,0.068254
23.842,0.055543
24.246,0.044506
24.65,0.035594
25.054,0.02859
25.458,0.023112
25.862,0.018808
26.266,0.0154
26.67,0.012676
27.074,0.010483
27.478,0.008703
27.882,0.0072512
28.286,0.0060625
28.69,0.0050873
29.094,0.0042876
29.498,0.003634
29.902,0.0031032
30.305,0.0026764
30.709,0.0023383
31.113,0.0020753
31.517,0.0018753
31.921,0.001727
32.325,0.0016196
32.729,0.0015434
33.133,0.0014901
33.537,0.0014525
33.941,0.0014254
34.345,0.0014047
34.749,0.0013876
35.153,0.001372
35.557,0.0013568
35.961,0.0013411
36.365,0.0013244
36.768,0.0013065
37.172,0.0012874
37.576,0.001267
37.98,0.0012454
38.384,0.0012227
38.788,0.0011992
39.192,0.0011748
39.596,0.0011499
40,0.0011245
